time_stamp,veh_0,veh_1,veh_2,veh_3,veh_4,veh_5,veh_6,veh_7,veh_8,veh_9,veh_10,veh_11,veh_12,veh_13,veh_14,veh_15,veh_16,veh_17,veh_18,veh_19
219,"['12.01', '2681.28']","['6.62', '1560.16']","['9.73', '2170.11']","['13.52', '2747.91']","['11.59', '2271.81']","['3.08', '568.19']","['11.21', '2317.15']","['4.82', '1004.18']","['7.65', '1402.46']","['4.04', '743.14']","['13.17', '2532.09']","['10.98', '2012.2']","['11.8', '2141.63']","['15.25', '2599.36']","['9.28', '1559.85']","['7.18', '1156.95']","['4.26', '802.07']","['7.11', '1232.17']","['6.89', '1167.99']","['16.39', '2481.9']"
220,"['12.8', '2694.08']","['6.62', '1566.78']","['10.33', '2180.43']","['13.49', '2761.4']","['11.35', '2283.16']","['3.35', '571.54']","['11.98', '2329.13']","['4.98', '1009.16']","['7.26', '1409.72']","['4.25', '747.39']","['14.24', '2546.33']","['11.3', '2023.51']","['12.01', '2153.63']","['14.64', '2613.99']","['9.48', '1569.33']","['6.82', '1163.77']","['4.98', '807.05']","['7.35', '1239.52']","['6.98', '1174.97']","['16.08', '2497.99']"
221,"['12.72', '2706.8']","['7.31', '1574.09']","['10.39', '2190.82']","['13.32', '2774.73']","['11.03', '2294.18']","['2.55', '574.09']","['11.69', '2340.82']","['4.8', '1013.96']","['7.06', '1416.79']","['4.38', '751.77']","['13.02', '2559.35']","['11.36', '2034.87']","['11.25', '2164.88']","['15.05', '2629.04']","['10', '1579.33']","['6.56', '1170.33']","['4.24', '811.3']","['7.2', '1246.72']","['7.64', '1182.61']","['16.93', '2514.92']"
222,"['12.19', '2718.99']","['7.19', '1581.27']","['9.81', '2200.63']","['12.71', '2787.44']","['11', '2305.18']","['2.86', '576.95']","['12.09', '2352.91']","['5.21', '1019.17']","['6.95', '1423.73']","['3.3', '755.07']","['13.49', '2572.84']","['10.64', '2045.51']","['12.42', '2177.3']","['15.52', '2644.56']","['9.96', '1589.29']","['6.79', '1177.12']","['4.6', '815.9']","['7.42', '1254.14']","['7.58', '1190.19']","['16.16', '2531.08']"
223,"['11.75', '2730.75']","['7.68', '1588.95']","['9.94', '2210.57']","['13.77', '2801.21']","['11.17', '2316.36']","['3.37', '580.32']","['11.61', '2364.52']","['5.48', '1024.65']","['7.28', '1431.02']","['3.73', '758.8']","['14.06', '2586.9']","['11.58', '2057.08']","['11.64', '2188.94']","['14.88', '2659.43']","['9.79', '1599.08']","['7.31', '1184.43']","['4.73', '820.63']","['7.2', '1261.33']","['6.91', '1197.1']","['16.97', '2548.05']"
224,"['12.1', '2742.85']","['7.27', '1596.23']","['9.75', '2220.32']","['13.53', '2814.74']","['10.53', '2326.88']","['2.57', '582.89']","['11.2', '2375.72']","['5.45', '1030.09']","['7.43', '1438.45']","['4.36', '763.16']","['13.62', '2600.52']","['11.18', '2068.26']","['11.16', '2200.1']","['15.07', '2674.51']","['8.97', '1608.05']","['6.27', '1190.71']","['5.3', '825.92']","['7.33', '1268.66']","['7.58', '1204.69']","['16.8', '2564.85']"
225,"['12.54', '2755.38']","['7.68', '1603.9']","['9.77', '2230.1']","['13.66', '2828.4']","['10.91', '2337.8']","['2.48', '585.36']","['11.71', '2387.44']","['5.38', '1035.48']","['7.81', '1446.26']","['3.57', '766.74']","['13.13', '2613.65']","['10.57', '2078.83']","['11.48', '2211.59']","['14.83', '2689.34']","['9.02', '1617.06']","['6.14', '1196.85']","['4.12', '830.04']","['7.45', '1276.11']","['6.85', '1211.53']","['16.55', '2581.4']"
226,"['12.18', '2767.56']","['7.77', '1611.67']","['10.62', '2240.71']","['13.96', '2842.35']","['11.12', '2348.92']","['2.28', '587.64']","['11.31', '2398.75']","['5.7', '1041.18']","['7.3', '1453.56']","['4.46', '771.19']","['13.94', '2627.59']","['11', '2089.83']","['11.25', '2222.84']","['15.65', '2704.99']","['9.8', '1626.86']","['6.6', '1203.45']","['5.22', '835.26']","['7.74', '1283.85']","['7.08', '1218.61']","['15.66', '2597.06']"
227,"['12.12', '2779.69']","['7.46', '1619.13']","['9.98', '2250.69']","['13.73', '2856.08']","['11.73', '2360.64']","['2.53', '590.17']","['12.23', '2410.98']","['5.3', '1046.48']","['6.9', '1460.46']","['3.84', '775.04']","['13.19', '2640.78']","['11.08', '2100.91']","['12.14', '2234.97']","['15.33', '2720.32']","['9.25', '1636.11']","['6.94', '1210.39']","['4.59', '839.85']","['6.81', '1290.67']","['6.89', '1225.5']","['14.99', '2612.04']"
228,"['12.7', '2792.39']","['6.98', '1626.11']","['10.02', '2260.72']","['12.78', '2868.86']","['11.02', '2371.66']","['2.84', '593.01']","['11.93', '2422.9']","['4.96', '1051.44']","['7.84', '1468.3']","['4.39', '779.43']","['13.86', '2654.64']","['10.92', '2111.83']","['12.33', '2247.3']","['15.46', '2735.78']","['9.63', '1645.74']","['6.66', '1217.05']","['4.68', '844.53']","['7.55', '1298.22']","['7.49', '1232.99']","['16.12', '2628.16']"
229,"['11.95', '2804.33']","['7.39', '1633.5']","['10.66', '2271.38']","['13.62', '2882.47']","['10.67', '2382.33']","['3.36', '596.37']","['12.42', '2435.32']","['4.74', '1056.18']","['6.94', '1475.24']","['3.69', '783.12']","['14.07', '2668.71']","['10.49', '2122.32']","['11.26', '2258.57']","['14.76', '2750.54']","['9.82', '1655.56']","['6.46', '1223.51']","['4.63', '849.16']","['7.75', '1305.97']","['7.23', '1240.22']","['16.63', '2644.79']"
230,"['12.62', '2816.96']","['7.32', '1640.82']","['9.99', '2281.37']","['13.16', '2895.64']","['11.51', '2393.85']","['2.75', '599.12']","['12', '2447.32']","['4.93', '1061.11']","['7.13', '1482.38']","['4.13', '787.26']","['13.38', '2682.09']","['11.47', '2133.79']","['11.91', '2270.48']","['14.68', '2765.22']","['9.29', '1664.85']","['6.39', '1229.9']","['5.25', '854.4']","['7.39', '1313.36']","['7.14', '1247.36']","['16.96', '2661.75']"
231,"['12.9', '2829.85']","['7.43', '1648.25']","['10.78', '2292.15']","['13.79', '2909.43']","['11.39', '2405.23']","['2.81', '601.93']","['11.97', '2459.29']","['5.43', '1066.53']","['7.08', '1489.46']","['3.46', '790.72']","['14.24', '2696.33']","['10.82', '2144.61']","['12.37', '2282.85']","['15.5', '2780.72']","['9.73', '1674.58']","['6.41', '1236.31']","['4.57', '858.97']","['7.2', '1320.56']","['7.19', '1254.55']","['17.09', '2678.84']"
232,"['11.77', '2841.63']","['7.22', '1655.48']","['10.71', '2302.85']","['13.66', '2923.09']","['11.15', '2416.39']","['2.95', '604.88']","['12.33', '2471.62']","['4.89', '1071.43']","['6.84', '1496.3']","['4.27', '794.99']","['14.19', '2710.52']","['11.23', '2155.84']","['11.66', '2294.51']","['15.05', '2795.77']","['9.06', '1683.64']","['6.54', '1242.85']","['5.28', '864.25']","['7.05', '1327.61']","['7.26', '1261.81']","['16.44', '2695.29']"
233,"['12.46', '2854.09']","['7.34', '1662.82']","['10.52', '2313.37']","['13.79', '2936.89']","['11.65', '2428.04']","['3.4', '608.28']","['11.94', '2483.56']","['5.05', '1076.47']","['7.42', '1503.73']","['3.72', '798.71']","['13.41', '2723.93']","['10.69', '2166.52']","['11.75', '2306.26']","['14.85', '2810.61']","['8.87', '1692.52']","['6.68', '1249.53']","['4.99', '869.23']","['7.69', '1335.3']","['6.56', '1268.37']","['16.23', '2711.51']"
234,"['12.03', '2866.12']","['6.93', '1669.75']","['10.39', '2323.76']","['13.38', '2950.27']","['10.53', '2438.57']","['2.29', '610.57']","['11.39', '2494.96']","['4.91', '1081.38']","['7.29', '1511.02']","['4.15', '802.86']","['13.98', '2737.91']","['10.88', '2177.4']","['12.22', '2318.49']","['14.59', '2825.21']","['9.59', '1702.11']","['6.85', '1256.38']","['5.05', '874.28']","['7.05', '1342.35']","['7.43', '1275.8']","['16.14', '2727.65']"
235,"['12.45', '2878.57']","['7.82', '1677.57']","['9.79', '2333.55']","['13.74', '2964.01']","['10.83', '2449.41']","['3.23', '613.79']","['11.2', '2506.15']","['5.15', '1086.53']","['6.93', '1517.95']","['4.42', '807.28']","['13.25', '2751.17']","['10.83', '2188.24']","['12.03', '2330.52']","['14.9', '2840.11']","['9.95', '1712.06']","['7.3', '1263.68']","['4.91', '879.19']","['7.79', '1350.14']","['7.67', '1283.47']","['16.27', '2743.92']"
236,"['12.87', '2891.44']","['7.43', '1685']","['10.09', '2343.64']","['13.39', '2977.4']","['11.65', '2461.06']","['2.31', '616.1']","['11.27', '2517.43']","['5.17', '1091.7']","['7.77', '1525.72']","['3.38', '810.66']","['13.14', '2764.31']","['10.78', '2199.02']","['11.63', '2342.15']","['15.5', '2855.61']","['10.07', '1722.13']","['6.59', '1270.28']","['4.57', '883.76']","['7.63', '1357.77']","['7.38', '1290.84']","['16.06', '2759.98']"
237,"['11.98', '2903.42']","['7.29', '1692.3']","['10.65', '2354.29']","['12.73', '2990.12']","['11.58', '2472.64']","['3.21', '619.31']","['11.34', '2528.76']","['5.62', '1097.32']","['7.35', '1533.06']","['4.24', '814.9']","['14.21', '2778.51']","['11.45', '2210.47']","['12.46', '2354.61']","['14.41', '2870.02']","['9.21', '1731.34']","['7.17', '1277.45']","['4.76', '888.52']","['7.98', '1365.75']","['7.25', '1298.09']","['15.96', '2775.94']"
238,"['12.32', '2915.74']","['7.39', '1699.69']","['10.43', '2364.72']","['13.11', '3003.24']","['10.79', '2483.43']","['3.34', '622.66']","['11.31', '2540.07']","['4.68', '1102']","['7.78', '1540.84']","['3.27', '818.18']","['13.18', '2791.69']","['11.01', '2221.48']","['12.16', '2366.77']","['14.96', '2884.98']","['10.12', '1741.46']","['6.73', '1284.18']","['4.98', '893.5']","['7.04', '1372.79']","['7.79', '1305.88']","['16.11', '2792.05']"
239,"['12.64', '2928.37']","['7.02', '1706.71']","['10.48', '2375.2']","['13.85', '3017.09']","['10.93', '2494.36']","['2.86', '625.52']","['11.43', '2551.5']","['5.61', '1107.61']","['6.82', '1547.66']","['4.05', '822.22']","['13.06', '2804.75']","['11.51', '2232.99']","['11.33', '2378.11']","['14.8', '2899.78']","['9.76', '1751.21']","['7.34', '1291.51']","['4.28', '897.78']","['7.07', '1379.86']","['6.94', '1312.82']","['16.48', '2808.53']"
240,"['11.8', '2940.17']","['7.65', '1714.36']","['9.76', '2384.96']","['13.94', '3031.03']","['10.92', '2505.28']","['3.28', '628.8']","['11.34', '2562.84']","['4.41', '1112.02']","['7.4', '1555.06']","['3.64', '825.86']","['14.24', '2818.99']","['10.79', '2243.78']","['12.24', '2390.35']","['13.79', '2913.57']","['9.96', '1761.17']","['7.06', '1298.57']","['5.15', '902.93']","['6.9', '1386.76']","['6.8', '1319.62']","['16.08', '2824.61']"
241,"['12.86', '2953.03']","['7.31', '1721.67']","['10.39', '2395.34']","['12.67', '3043.71']","['11.12', '2516.4']","['2.85', '631.65']","['11.33', '2574.17']","['4.72', '1116.75']","['7.54', '1562.61']","['3.61', '829.48']","['13.33', '2832.32']","['11.28', '2255.06']","['11.62', '2401.96']","['13.17', '2926.74']","['9.22', '1770.39']","['6.92', '1305.49']","['4.66', '907.59']","['7.09', '1393.86']","['6.61', '1326.22']","['16.06', '2840.67']"
242,"['12.49', '2965.53']","['7.89', '1729.55']","['10.88', '2406.22']","['13.65', '3057.36']","['10.64', '2527.03']","['2.2', '633.86']","['12.02', '2586.2']","['5.11', '1121.86']","['6.94', '1569.54']","['3.51', '832.98']","['13.53', '2845.85']","['10.98', '2266.03']","['12.46', '2414.43']","['15.51', '2942.25']","['9.02', '1779.41']","['7.15', '1312.64']","['4.1', '911.69']","['6.97', '1400.82']","['7.54', '1333.76']","['17.13', '2857.81']"
243,"['11.72', '2977.25']","['6.73', '1736.29']","['9.92', '2416.14']","['13.26', '3070.62']","['10.87', '2537.9']","['3', '636.85']","['12.2', '2598.4']","['5.16', '1127.02']","['7.45', '1576.99']","['4.02', '837']","['14.27', '2860.12']","['11.38', '2277.42']","['12.39', '2426.81']","['15.65', '2957.9']","['9.02', '1788.43']","['6.88', '1319.52']","['5.39', '917.07']","['7.65', '1408.47']","['6.6', '1340.37']","['16.38', '2874.19']"
244,"['12.64', '2989.89']","['7.2', '1743.49']","['10.25', '2426.39']","['13.85', '3084.47']","['10.93', '2548.83']","['2.44', '639.3']","['11.49', '2609.88']","['4.55', '1131.58']","['7.48', '1584.47']","['4.09', '841.09']","['13.68', '2873.8']","['11.07', '2288.48']","['11.62', '2438.43']","['15.44', '2973.34']","['9.67', '1798.1']","['6.72', '1326.24']","['4.82', '921.89']","['7.74', '1416.21']","['7.54', '1347.91']","['17.05', '2891.24']"
245,"['12.05', '3001.93']","['7.59', '1751.08']","['10.26', '2436.65']","['13.26', '3097.73']","['11.36', '2560.19']","['2.35', '641.65']","['12.28', '2622.17']","['4.79', '1136.36']","['6.98', '1591.46']","['4.02', '845.11']","['13.41', '2887.21']","['11.26', '2299.74']","['12.32', '2450.75']","['15.49', '2988.83']","['9.98', '1808.08']","['7.16', '1333.39']","['4.6', '926.49']","['7.38', '1423.59']","['7.6', '1355.51']","['16.07', '2907.3']"
246,"['12.88', '3014.81']","['7.11', '1758.19']","['9.97', '2446.62']","['13.34', '3111.07']","['11.1', '2571.29']","['3.12', '644.78']","['12.4', '2634.56']","['4.88', '1141.24']","['7.59', '1599.05']","['4.42', '849.53']","['13.12', '2900.34']","['11.04', '2310.78']","['12.18', '2462.93']","['15.2', '3004.02']","['10.11', '1818.19']","['7.31', '1340.7']","['5', '931.5']","['6.99', '1430.58']","['7.07', '1362.58']","['17.04', '2924.34']"
247,"['12.84', '3027.65']","['7.19', '1765.38']","['10.18', '2456.8']","['13.96', '3125.03']","['10.94', '2582.22']","['2.99', '647.77']","['11.81', '2646.38']","['4.9', '1146.15']","['7.25', '1606.3']","['3.51', '853.04']","['14.08', '2914.42']","['10.35', '2321.13']","['12.41', '2475.33']","['14.79', '3018.82']","['9.91', '1828.1']","['6.14', '1346.84']","['4.56', '936.06']","['7.64', '1438.22']","['7.25', '1369.83']","['16.3', '2940.65']"
248,"['11.83', '3039.49']","['6.73', '1772.11']","['9.69', '2466.49']","['13.55', '3138.58']","['11.77', '2593.99']","['3.34', '651.11']","['12.41', '2658.79']","['5.15', '1151.29']","['7.52', '1613.82']","['4.29', '857.33']","['14.28', '2928.7']","['10.47', '2331.6']","['11.5', '2486.83']","['14.43', '3033.24']","['10.06', '1838.16']","['6.41', '1353.24']","['4.64', '940.7']","['6.75', '1444.96']","['6.57', '1376.4']","['16.02', '2956.67']"
249,"['11.82', '3051.31']","['6.75', '1778.86']","['10.39', '2476.88']","['13.39', '3151.97']","['10.52', '2604.51']","['2.59', '653.7']","['11.33', '2670.12']","['4.65', '1155.94']","['7.72', '1621.54']","['4.25', '861.58']","['13.27', '2941.98']","['11.21', '2342.82']","['12.3', '2499.13']","['15.6', '3048.84']","['9.52', '1847.68']","['7.18', '1360.43']","['5.18', '945.88']","['7.76', '1452.72']","['6.58', '1382.98']","['15.9', '2972.57']"
250,"['12.08', '3063.39']","['7.49', '1786.35']","['10.22', '2487.1']","['13.63', '3165.59']","['10.79', '2615.3']","['3.35', '657.05']","['12.05', '2682.17']","['4.69', '1160.63']","['7.62', '1629.16']","['3.67', '865.25']","['14.07', '2956.05']","['10.73', '2353.54']","['11.94', '2511.08']","['14.74', '3063.58']","['10.07', '1857.75']","['6.78', '1367.2']","['4.48', '950.37']","['7.61', '1460.33']","['6.92', '1389.9']","['16.47', '2989.04']"
251,"['12.16', '3075.55']","['7.14', '1793.49']","['9.9', '2497']","['13.77', '3179.36']","['10.68', '2625.98']","['2.91', '659.96']","['12.4', '2694.57']","['4.54', '1165.17']","['6.61', '1635.77']","['3.61', '868.86']","['14.16', '2970.21']","['11.37', '2364.91']","['11.42', '2522.5']","['15.22', '3078.81']","['9.34', '1867.09']","['6.29', '1373.49']","['5.17', '955.54']","['6.96', '1467.29']","['6.77', '1396.67']","['17.08', '3006.11']"
252,"['12.54', '3088.08']","['6.66', '1800.15']","['9.65', '2506.65']","['12.77', '3192.13']","['11.75', '2637.72']","['2.75', '662.7']","['11.65', '2706.23']","['5.52', '1170.69']","['7.02', '1642.79']","['4.15', '873.02']","['13.26', '2983.47']","['10.32', '2375.23']","['11.44', '2533.94']","['15.06', '3093.87']","['10.12', '1877.21']","['6.29', '1379.78']","['4.64', '960.18']","['7.34', '1474.63']","['7.21', '1403.88']","['16.01', '3022.13']"
253,"['12.62', '3100.71']","['7.2', '1807.36']","['9.71', '2516.36']","['12.77', '3204.91']","['11.68', '2649.41']","['2.55', '665.25']","['12.41', '2718.63']","['5.15', '1175.84']","['7.61', '1650.4']","['4.06', '877.08']","['13.7', '2997.17']","['11.12', '2386.35']","['12.26', '2546.2']","['14.9', '3108.77']","['9.51', '1886.73']","['7.22', '1387']","['4.73', '964.91']","['7.73', '1482.36']","['7.06', '1410.94']","['17.12', '3039.25']"
254,"['12.51', '3113.21']","['6.65', '1814.01']","['9.74', '2526.1']","['13.57', '3218.48']","['10.95', '2660.36']","['2.9', '668.15']","['11.4', '2730.03']","['5.33', '1181.17']","['7.85', '1658.25']","['4.15', '881.23']","['13.46', '3010.63']","['11.57', '2397.92']","['11.69', '2557.89']","['15.31', '3124.08']","['9.22', '1895.94']","['6.43', '1393.43']","['5.35', '970.26']","['7.34', '1489.7']","['7.8', '1418.74']","['17.08', '3056.33']"
255,"['12.36', '3125.58']","['7.77', '1821.78']","['10.52', '2536.62']","['13.15', '3231.63']","['10.58', '2670.94']","['2.36', '670.51']","['11.8', '2741.83']","['5.21', '1186.38']","['7.41', '1665.66']","['3.72', '884.95']","['13.28', '3023.91']","['10.82', '2408.73']","['11.68', '2569.57']","['14.72', '3138.8']","['9.33', '1905.28']","['6.15', '1399.58']","['5.24', '975.49']","['7.06', '1496.76']","['7.77', '1426.51']","['16.12', '3072.45']"
256,"['12.56', '3138.14']","['7.8', '1829.58']","['10.48', '2547.1']","['12.77', '3244.4']","['11.39', '2682.33']","['2.67', '673.18']","['11.66', '2753.49']","['4.7', '1191.08']","['6.85', '1672.51']","['3.55', '888.5']","['13.38', '3037.28']","['11.09', '2419.83']","['12.31', '2581.88']","['15.38', '3154.18']","['9.88', '1915.16']","['7.02', '1406.6']","['5.33', '980.83']","['6.93', '1503.69']","['7.21', '1433.72']","['16.42', '3088.88']"
257,"['12.73', '3150.87']","['6.92', '1836.5']","['10.91', '2558.01']","['12.7', '3257.1']","['11.25', '2693.58']","['3.05', '676.23']","['11.62', '2765.1']","['4.54', '1195.63']","['6.82', '1679.33']","['3.6', '892.1']","['13.9', '3051.18']","['11.36', '2431.19']","['11.35', '2593.24']","['15.04', '3169.22']","['8.85', '1924.01']","['6.41', '1413.02']","['4.86', '985.69']","['6.91', '1510.61']","['7.01', '1440.73']","['16.39', '3105.27']"
258,"['12.75', '3163.62']","['6.82', '1843.32']","['10.23', '2568.24']","['13.95', '3271.05']","['11.74', '2705.32']","['2.7', '678.94']","['11.92', '2777.03']","['5.66', '1201.29']","['6.83', '1686.16']","['3.95', '896.05']","['14.29', '3065.48']","['11.41', '2442.6']","['11.94', '2605.17']","['15.05', '3184.27']","['8.89', '1932.89']","['6.63', '1419.65']","['5.23', '990.92']","['7.64', '1518.24']","['6.55', '1447.28']","['15.85', '3121.12']"
259,"['11.77', '3175.39']","['6.99', '1850.31']","['10.78', '2579.02']","['12.88', '3283.93']","['10.85', '2716.17']","['2.45', '681.39']","['11.74', '2788.76']","['5.45', '1206.74']","['7.02', '1693.18']","['3.98', '900.03']","['14.26', '3079.74']","['11.05', '2453.65']","['12.07', '2617.24']","['15.56', '3199.84']","['9.81', '1942.71']","['6.61', '1426.26']","['4.4', '995.32']","['6.94', '1525.18']","['7.21', '1454.49']","['16.3', '3137.42']"
260,"['12.21', '3187.6']","['7.4', '1857.71']","['10.86', '2589.88']","['12.85', '3296.78']","['10.57', '2726.74']","['3.16', '684.54']","['12.31', '2801.08']","['4.49', '1211.23']","['6.8', '1699.98']","['3.59', '903.62']","['13.77', '3093.51']","['10.45', '2464.1']","['11.35', '2628.59']","['15.01', '3214.85']","['9.74', '1952.45']","['6.75', '1433.02']","['4.71', '1000.03']","['7.46', '1532.64']","['7.38', '1461.87']","['15.93', '3153.35']"
261,"['12.54', '3200.14']","['7.69', '1865.41']","['9.66', '2599.54']","['13.28', '3310.06']","['10.79', '2737.54']","['2.11', '686.66']","['11.44', '2812.52']","['5.35', '1216.58']","['6.86', '1706.84']","['3.74', '907.36']","['13.51', '3107.02']","['11.42', '2475.52']","['12.4', '2640.98']","['15.54', '3230.39']","['9.4', '1961.85']","['7.4', '1440.42']","['4.76', '1004.79']","['7.27', '1539.92']","['7.81', '1469.69']","['17.09', '3170.44']"
262,"['11.93', '3212.07']","['6.84', '1872.25']","['9.73', '2609.27']","['13.8', '3323.87']","['11.17', '2748.7']","['3.29', '689.95']","['11.85', '2824.37']","['5.43', '1222.01']","['7.19', '1714.02']","['4.29', '911.65']","['13.16', '3120.18']","['10.33', '2485.86']","['12.46', '2653.44']","['14.53', '3244.92']","['9.7', '1971.55']","['6.65', '1447.07']","['4.5', '1009.29']","['7.44', '1547.36']","['6.93', '1476.62']","['16.77', '3187.21']"
263,"['12.71', '3224.77']","['7.12', '1879.36']","['9.66', '2618.93']","['13.47', '3337.33']","['11.64', '2760.34']","['3.31', '693.26']","['11.58', '2835.95']","['5.1', '1227.11']","['6.61', '1720.63']","['3.85', '915.5']","['13.34', '3133.52']","['10.75', '2496.61']","['12.33', '2665.78']","['14.83', '3259.75']","['8.96', '1980.5']","['6.48', '1453.55']","['4.38', '1013.67']","['7.18', '1554.53']","['7.65', '1484.27']","['16.21', '3203.42']"
264,"['12.22', '3236.99']","['7.12', '1886.49']","['10.47', '2629.4']","['13.08', '3350.41']","['11.35', '2771.69']","['2.5', '695.76']","['11.95', '2847.9']","['5.52', '1232.63']","['6.97', '1727.6']","['4.36', '919.86']","['13.48', '3147']","['11.38', '2507.99']","['11.31', '2677.08']","['14.76', '3274.51']","['9.81', '1990.31']","['6.58', '1460.13']","['4.22', '1017.89']","['6.81', '1561.35']","['7.25', '1491.52']","['16.63', '3220.05']"
265,"['11.82', '3248.82']","['7.37', '1893.86']","['9.93', '2639.33']","['12.74', '3363.16']","['11.11', '2782.79']","['2.28', '698.04']","['12.21', '2860.12']","['4.93', '1237.55']","['6.83', '1734.43']","['4.48', '924.34']","['14.09', '3161.09']","['11.52', '2519.51']","['11.32', '2688.41']","['14.6', '3289.11']","['9.45', '1999.76']","['7.41', '1467.54']","['4.82', '1022.71']","['7.25', '1568.6']","['6.75', '1498.27']","['16.54', '3236.59']"
266,"['12.31', '3261.12']","['6.66', '1900.52']","['10.42', '2649.74']","['13.21', '3376.37']","['10.8', '2793.59']","['3.01', '701.05']","['11.13', '2871.25']","['5.13', '1242.69']","['7.15', '1741.58']","['4.19', '928.53']","['13.8', '3174.89']","['10.64', '2530.15']","['11.48', '2699.88']","['15.39', '3304.5']","['9.81', '2009.57']","['6.31', '1473.85']","['5.36', '1028.06']","['7.56', '1576.15']","['6.8', '1505.08']","['16.72', '3253.31']"
267,"['12.55', '3273.67']","['7.27', '1907.78']","['10.78', '2660.52']","['13.46', '3389.83']","['10.88', '2804.47']","['2.79', '703.84']","['11.72', '2882.97']","['4.94', '1247.63']","['7.42', '1749']","['3.74', '932.27']","['13.82', '3188.71']","['11.49', '2541.64']","['12.35', '2712.23']","['14.37', '3318.87']","['10.08', '2019.65']","['6.27', '1480.12']","['4.19', '1032.25']","['7.21', '1583.36']","['6.57', '1511.65']","['15.89', '3269.2']"
268,"['12.54', '3286.21']","['7.55', '1915.33']","['10.03', '2670.55']","['13.34', '3403.18']","['11.3', '2815.77']","['2.6', '706.44']","['11.59', '2894.56']","['4.95', '1252.58']","['6.6', '1755.6']","['3.34', '935.61']","['13.83', '3202.54']","['10.42', '2552.06']","['11.88', '2724.11']","['14.76', '3333.63']","['9.93', '2029.58']","['7.15', '1487.28']","['4.62', '1036.88']","['8.03', '1591.39']","['7.08', '1518.73']","['16.68', '3285.88']"
269,"['12.35', '3298.56']","['6.98', '1922.32']","['9.9', '2680.45']","['13.35', '3416.52']","['11.64', '2827.41']","['3.15', '709.59']","['11.16', '2905.72']","['4.76', '1257.34']","['7.68', '1763.28']","['4.06', '939.67']","['13.1', '3215.64']","['10.82', '2562.88']","['11.35', '2735.45']","['14.7', '3348.33']","['9.02', '2038.6']","['7.16', '1494.44']","['4.72', '1041.59']","['8.02', '1599.41']","['7.7', '1526.43']","['16.95', '3302.83']"
270,"['12.38', '3310.94']","['6.8', '1929.12']","['10.86', '2691.31']","['13.42', '3429.94']","['11.72', '2839.13']","['2.32', '711.91']","['12.09', '2917.81']","['5.5', '1262.84']","['6.85', '1770.13']","['4.05', '943.72']","['13.65', '3229.29']","['11.35', '2574.23']","['11.47', '2746.92']","['14.57', '3362.91']","['9.92', '2048.52']","['6.22', '1500.66']","['4.35', '1045.94']","['7.17', '1606.58']","['7.42', '1533.85']","['16.65', '3319.48']"
271,"['12.5', '3323.44']","['7.05', '1936.17']","['9.84', '2701.15']","['13.89', '3443.84']","['10.68', '2849.81']","['2.2', '714.11']","['12.18', '2929.98']","['5.39', '1268.23']","['7.03', '1777.16']","['3.67', '947.39']","['13.12', '3242.41']","['10.62', '2584.85']","['11.56', '2758.49']","['15.61', '3378.52']","['9.16', '2057.68']","['6.48', '1507.14']","['5.16', '1051.1']","['7.97', '1614.56']","['7.25', '1541.11']","['16.42', '3335.9']"
272,"['12.63', '3336.06']","['7.4', '1943.57']","['10.74', '2711.89']","['13.04', '3456.88']","['11.68', '2861.48']","['2.82', '716.93']","['11.54', '2941.52']","['4.52', '1272.75']","['6.98', '1784.14']","['3.25', '950.64']","['13.37', '3255.78']","['10.51', '2595.36']","['11.79', '2770.28']","['15.29', '3393.81']","['8.87', '2066.55']","['6.62', '1513.76']","['4.16', '1055.25']","['7.87', '1622.42']","['7.49', '1548.6']","['16.27', '3352.17']"
273,"['13.02', '3349.08']","['7.49', '1951.06']","['10.67', '2722.56']","['13.8', '3470.68']","['11.75', '2873.24']","['3', '719.93']","['11.3', '2952.83']","['5.01', '1277.76']","['7.22', '1791.36']","['4.12', '954.76']","['13.85', '3269.63']","['10.72', '2606.08']","['12.34', '2782.62']","['15.61', '3409.43']","['9.13', '2075.68']","['6.46', '1520.22']","['4.72', '1059.97']","['7.64', '1630.07']","['6.97', '1555.57']","['17.04', '3369.21']"
274,"['12.59', '3361.67']","['6.69', '1957.75']","['10.9', '2733.46']","['13.76', '3484.45']","['10.83', '2884.06']","['2.43', '722.36']","['11.53', '2964.35']","['4.46', '1282.22']","['7.4', '1798.75']","['4.17', '958.93']","['14.09', '3283.72']","['10.41', '2616.49']","['12.21', '2794.83']","['14.75', '3424.18']","['8.99', '2084.67']","['6.74', '1526.97']","['4.72', '1064.69']","['7.78', '1637.85']","['6.86', '1562.43']","['16.27', '3385.48']"
275,"['11.79', '3373.47']","['7.16', '1964.91']","['9.76', '2743.22']","['13.71', '3498.15']","['11.72', '2895.78']","['2.39', '724.75']","['11.39', '2975.74']","['5.54', '1287.76']","['7.68', '1806.44']","['4.36', '963.29']","['13.72', '3297.44']","['10.85', '2627.33']","['12.1', '2806.92']","['15.33', '3439.51']","['9.23', '2093.9']","['7.35', '1534.31']","['4.1', '1068.79']","['7.4', '1645.25']","['7.55', '1569.99']","['16.94', '3402.42']"
