time_stamp,veh_0,veh_1,veh_2,veh_3,veh_4,veh_5,veh_6,veh_7,veh_8,veh_9,veh_10,veh_11,veh_12,veh_13,veh_14,veh_15,veh_16,veh_17,veh_18,veh_19
71,"['12.13', '852.57']","['7.47', '487.55']","['10.83', '650.86']","['12.85', '777.16']","['10.73', '630.03']","['3.22', '157.97']","['11.67', '586.14']","['4.97', '252.28']","['7.29', '325.78']","['3.67', '169.46']","['14.06', '512.9']","['11.37', '385.35']","['11.52', '389.49']","['14.47', '393.28']","['6.85', '158.29']","['6.59', '167.68']","['4.44', '111.11']","['6.45', '141.42']","['7.72', '109.02']","['10.35', '146.32']"
72,"['12.62', '865.19']","['7.25', '494.8']","['10.41', '661.27']","['12.76', '789.92']","['10.7', '640.73']","['2.91', '160.88']","['11.24', '597.38']","['5.3', '257.58']","['7.28', '333.06']","['3.87', '173.32']","['13.42', '526.33']","['10.57', '395.92']","['12.37', '401.86']","['15.25', '408.53']","['9.17', '167.46']","['6.22', '173.91']","['4.93', '116.03']","['7.42', '148.85']","['7.02', '116.04']","['9.79', '156.11']"
73,"['12.95', '878.14']","['7.42', '502.21']","['9.69', '670.96']","['12.99', '802.91']","['11.2', '651.94']","['2.74', '163.62']","['11.69', '609.07']","['5.68', '263.26']","['7.21', '340.27']","['3.52', '176.84']","['13.83', '540.16']","['10.33', '406.24']","['11.55', '413.41']","['15.61', '424.14']","['9.05', '176.51']","['6.94', '180.85']","['4.27', '120.3']","['7.43', '156.28']","['6.88', '122.92']","['7.05', '163.16']"
74,"['12.02', '890.16']","['6.87', '509.09']","['10.56', '681.52']","['13.58', '816.49']","['11.47', '663.41']","['2.22', '165.84']","['11.88', '620.95']","['5.56', '268.83']","['7.57', '347.84']","['3.29', '180.14']","['13.82', '553.98']","['11.24', '417.49']","['11.34', '424.75']","['15.02', '439.16']","['9.53', '186.04']","['7.31', '188.15']","['4.11', '124.41']","['6.84', '163.12']","['7.04', '129.96']","['8.37', '171.53']"
75,"['12.11', '902.27']","['6.87', '515.96']","['9.65', '691.17']","['12.75', '829.23']","['11.77', '675.17']","['2.15', '167.99']","['11.25', '632.2']","['4.48', '273.31']","['7.45', '355.29']","['3.84', '183.98']","['13.71', '567.69']","['10.88', '428.36']","['12.37', '437.12']","['15.17', '454.33']","['8.87', '194.9']","['6.43', '194.59']","['5.36', '129.77']","['7.58', '170.7']","['7.4', '137.37']","['7.09', '178.62']"
76,"['11.9', '914.17']","['6.68', '522.64']","['10.91', '702.08']","['13.89', '843.12']","['10.83', '686.01']","['3.37', '171.37']","['12.26', '644.45']","['4.97', '278.28']","['7.76', '363.06']","['4.03', '188.01']","['14.06', '581.74']","['11.32', '439.69']","['11.22', '448.34']","['14.74', '469.07']","['9.09', '203.99']","['6.4', '200.99']","['4.52', '134.3']","['7.3', '178.01']","['7.78', '145.14']","['6.56', '185.18']"
77,"['12.53', '926.7']","['6.68', '529.32']","['10.37', '712.45']","['13.62', '856.74']","['11.7', '697.71']","['3.09', '174.45']","['11.4', '655.85']","['4.83', '283.11']","['7.61', '370.67']","['4.42', '192.43']","['13.63', '595.37']","['10.58', '450.26']","['11.21', '459.55']","['15.35', '484.42']","['9.61', '213.61']","['6.33', '207.32']","['4.24', '138.54']","['7.03', '185.04']","['6.64', '151.78']","['7.24', '192.42']"
78,"['12.23', '938.94']","['6.83', '536.15']","['9.88', '722.34']","['13.35', '870.09']","['10.81', '708.51']","['3.12', '177.57']","['11.58', '667.43']","['4.44', '287.54']","['7.4', '378.07']","['3.35', '195.78']","['13.48', '608.85']","['11.2', '461.46']","['11.25', '470.8']","['14.48', '498.91']","['9.84', '223.44']","['6.7', '214.01']","['4.39', '142.93']","['6.8', '191.84']","['7.15', '158.93']","['5.8', '198.22']"
79,"['12.49', '951.42']","['7.13', '543.28']","['9.88', '732.21']","['13.79', '883.89']","['11.69', '720.2']","['2.92', '180.5']","['11.48', '678.91']","['5.43', '292.97']","['6.69', '384.76']","['3.55', '199.33']","['14.18', '623.03']","['10.46', '471.92']","['12.09', '482.89']","['15.33', '514.23']","['9.4', '232.84']","['6.79', '220.8']","['5.18', '148.11']","['6.98', '198.82']","['7.05', '165.97']","['6.39', '204.61']"
80,"['11.75', '963.17']","['7.01', '550.29']","['10.46', '742.68']","['13.29', '897.17']","['10.58', '730.78']","['2.63', '183.13']","['11.99', '690.9']","['5.62', '298.59']","['7.72', '392.48']","['3.44', '202.77']","['14.18', '637.21']","['10.67', '482.59']","['11.96', '494.85']","['15.25', '529.48']","['9.23', '242.07']","['6.48', '227.28']","['4.95', '153.06']","['7.07', '205.89']","['6.68', '172.66']","['8.13', '212.74']"
